lecture,slide_id,slide_json,has_text,models_count,concepts_total,concepts_not_in_text,triples_total,triples_with_image_modality,triple_entities_not_in_text,img_modality_rate,not_in_text_rate,image_heavy_score
Lecture 5,Slide36,Lecture 5\Slide36.json,1,5,3,0,1,1,0,1.0,0.0,0.7
Lecture 5,Slide47,Lecture 5\Slide47.json,1,5,3,0,1,1,0,1.0,0.0,0.7
Lecture 7,Slide31,Lecture 7\Slide31.json,1,5,13,0,1,1,0,1.0,0.0,0.7
Lecture 20,Slide3,Lecture 20\Slide3.json,1,5,4,4,2,1,2,0.5,1.0,0.65
Lecture 16,Slide11,Lecture 16\Slide11.json,1,5,4,2,4,3,1,0.75,0.375,0.6375
Lecture 12,Slide19,Lecture 12\Slide19.json,1,5,4,3,2,1,2,0.5,0.8333,0.6
Lecture 4,Slide27,Lecture 4\Slide27.json,1,5,4,1,4,3,0,0.75,0.125,0.5625
Lecture 9,Slide24,Lecture 9\Slide24.json,1,5,4,1,4,3,0,0.75,0.125,0.5625
Lecture 15,Slide23,Lecture 15\Slide23.json,1,5,10,2,3,2,2,0.6667,0.3077,0.559
Lecture 16,Slide36,Lecture 16\Slide36.json,1,5,4,1,3,2,1,0.6667,0.2857,0.5524
Lecture 16,Slide47,Lecture 16\Slide47.json,1,5,4,1,3,2,1,0.6667,0.2857,0.5524
Lecture 16,Slide7,Lecture 16\Slide7.json,1,5,4,1,3,2,1,0.6667,0.2857,0.5524
Lecture 21,Slide40,Lecture 21\Slide40.json,1,5,4,1,3,2,1,0.6667,0.2857,0.5524
Lecture 8,Slide34,Lecture 8\Slide34.json,1,5,7,1,4,3,0,0.75,0.0909,0.5523
Lecture 11,Slide59,Lecture 11\Slide59.json,1,5,4,4,2,1,0,0.5,0.6667,0.55
Lecture 15,Slide19,Lecture 15\Slide19.json,1,5,4,2,2,1,2,0.5,0.6667,0.55
Lecture 18,Slide52,Lecture 18\Slide52.json,1,5,4,2,2,1,2,0.5,0.6667,0.55
Lecture 20,Slide15,Lecture 20\Slide15.json,1,5,4,2,2,1,2,0.5,0.6667,0.55
Lecture 20,Slide48,Lecture 20\Slide48.json,1,5,4,3,2,1,1,0.5,0.6667,0.55
Lecture 21,Slide42,Lecture 21\Slide42.json,1,5,4,2,2,1,2,0.5,0.6667,0.55
Lecture 22,Slide7,Lecture 22\Slide7.json,1,5,4,2,2,1,2,0.5,0.6667,0.55
Lecture 9,Slide26,Lecture 9\Slide26.json,1,5,12,2,3,2,2,0.6667,0.2667,0.5467
Lecture 16,Slide10,Lecture 16\Slide10.json,1,5,4,4,4,2,1,0.5,0.625,0.5375
Lecture 4,Slide43,Lecture 4\Slide43.json,1,5,6,1,3,2,1,0.6667,0.2222,0.5333
Lecture 13,Slide18,Lecture 13\Slide18.json,1,5,3,2,2,1,1,0.5,0.6,0.53
Lecture 12,Slide37,Lecture 12\Slide37.json,1,5,4,0,4,3,0,0.75,0.0,0.525
Lecture 14,Slide31,Lecture 14\Slide31.json,1,5,14,0,4,3,0,0.75,0.0,0.525
Lecture 14,Slide41,Lecture 14\Slide41.json,1,5,13,0,4,3,0,0.75,0.0,0.525
Lecture 17,Slide39,Lecture 17\Slide39.json,1,5,26,0,4,3,0,0.75,0.0,0.525
Lecture 18,Slide12,Lecture 18\Slide12.json,1,5,31,0,4,3,0,0.75,0.0,0.525
Lecture 2,Slide33,Lecture 2\Slide33.json,1,5,21,0,4,3,0,0.75,0.0,0.525
Lecture 3,Slide13,Lecture 3\Slide13.json,1,5,20,0,4,3,0,0.75,0.0,0.525
Lecture 4,Slide17,Lecture 4\Slide17.json,1,5,15,0,4,3,0,0.75,0.0,0.525
Lecture 6,Slide36,Lecture 6\Slide36.json,1,5,3,1,3,2,0,0.6667,0.1667,0.5167
Lecture 6,Slide37,Lecture 6\Slide37.json,1,5,3,0,3,2,1,0.6667,0.1667,0.5167
Lecture 20,Slide46,Lecture 20\Slide46.json,1,5,10,1,3,2,1,0.6667,0.1538,0.5128
Lecture 1,Slide40,Lecture 1\Slide40.json,1,5,4,1,3,2,0,0.6667,0.1429,0.5095
Lecture 1,Slide41,Lecture 1\Slide41.json,1,5,4,0,3,2,1,0.6667,0.1429,0.5095
Lecture 12,Slide34,Lecture 12\Slide34.json,1,5,4,0,3,2,1,0.6667,0.1429,0.5095
Lecture 16,Slide6,Lecture 16\Slide6.json,1,5,4,0,3,2,1,0.6667,0.1429,0.5095
Lecture 17,Slide26,Lecture 17\Slide26.json,1,5,4,1,3,2,0,0.6667,0.1429,0.5095
Lecture 20,Slide20,Lecture 20\Slide20.json,1,5,4,1,3,2,0,0.6667,0.1429,0.5095
Lecture 20,Slide6,Lecture 20\Slide6.json,1,5,4,1,3,2,0,0.6667,0.1429,0.5095
Lecture 21,Slide29,Lecture 21\Slide29.json,1,5,4,1,3,2,0,0.6667,0.1429,0.5095
Lecture 15,Slide9,Lecture 15\Slide9.json,1,5,6,1,3,2,0,0.6667,0.1111,0.5
Lecture 1,Slide7,Lecture 1\Slide7.json,1,5,4,2,2,1,1,0.5,0.5,0.5
Lecture 12,Slide16,Lecture 12\Slide16.json,1,5,4,2,2,1,1,0.5,0.5,0.5
Lecture 12,Slide8,Lecture 12\Slide8.json,1,5,4,1,2,1,2,0.5,0.5,0.5
Lecture 14,Slide36,Lecture 14\Slide36.json,1,5,4,1,2,1,2,0.5,0.5,0.5
Lecture 18,Slide37,Lecture 18\Slide37.json,1,5,4,1,2,1,2,0.5,0.5,0.5
Lecture 23,Slide31,Lecture 23\Slide31.json,1,5,4,1,2,1,2,0.5,0.5,0.5
Lecture 23,Slide46,Lecture 23\Slide46.json,1,5,4,1,2,1,2,0.5,0.5,0.5
Lecture 8,Slide10,Lecture 8\Slide10.json,1,5,4,2,2,1,1,0.5,0.5,0.5
Lecture 8,Slide14,Lecture 8\Slide14.json,1,5,4,2,2,1,1,0.5,0.5,0.5
Lecture 8,Slide3,Lecture 8\Slide3.json,1,5,4,2,2,1,1,0.5,0.5,0.5
Lecture 9,Slide28,Lecture 9\Slide28.json,1,5,4,2,2,1,1,0.5,0.5,0.5
Lecture 9,Slide13,Lecture 9\Slide13.json,1,5,8,0,3,2,1,0.6667,0.0909,0.4939
Lecture 14,Slide34,Lecture 14\Slide34.json,1,5,9,0,3,2,1,0.6667,0.0833,0.4917
Lecture 12,Slide15,Lecture 12\Slide15.json,1,5,13,1,3,2,0,0.6667,0.0625,0.4854
Lecture 12,Slide14,Lecture 12\Slide14.json,1,5,15,1,3,2,0,0.6667,0.0556,0.4833
Lecture 19,Slide11,Lecture 19\Slide11.json,1,5,3,2,2,1,0,0.5,0.4,0.47
Lecture 19,Slide42,Lecture 19\Slide42.json,1,5,3,1,2,1,1,0.5,0.4,0.47
Lecture 5,Slide17,Lecture 5\Slide17.json,1,5,3,1,2,1,1,0.5,0.4,0.47
Lecture 1,Slide34,Lecture 1\Slide34.json,1,5,9,0,3,2,0,0.6667,0.0,0.4667
Lecture 11,Slide33,Lecture 11\Slide33.json,1,5,4,0,3,2,0,0.6667,0.0,0.4667
Lecture 11,Slide53,Lecture 11\Slide53.json,1,5,4,0,3,2,0,0.6667,0.0,0.4667
Lecture 17,Slide42,Lecture 17\Slide42.json,1,5,17,0,3,2,0,0.6667,0.0,0.4667
Lecture 19,Slide29,Lecture 19\Slide29.json,1,5,3,0,3,2,0,0.6667,0.0,0.4667
Lecture 2,Slide24,Lecture 2\Slide24.json,1,5,23,0,3,2,0,0.6667,0.0,0.4667
Lecture 20,Slide17,Lecture 20\Slide17.json,1,5,4,0,3,2,0,0.6667,0.0,0.4667
Lecture 20,Slide21,Lecture 20\Slide21.json,1,5,4,0,3,2,0,0.6667,0.0,0.4667
Lecture 20,Slide28,Lecture 20\Slide28.json,1,5,4,0,3,2,0,0.6667,0.0,0.4667
Lecture 22,Slide32,Lecture 22\Slide32.json,1,5,4,0,3,2,0,0.6667,0.0,0.4667
Lecture 23,Slide36,Lecture 23\Slide36.json,1,5,4,0,3,2,0,0.6667,0.0,0.4667
Lecture 23,Slide41,Lecture 23\Slide41.json,1,5,10,0,3,2,0,0.6667,0.0,0.4667
Lecture 4,Slide35,Lecture 4\Slide35.json,1,5,13,0,3,2,0,0.6667,0.0,0.4667
Lecture 20,Slide32,Lecture 20\Slide32.json,1,5,4,3,4,2,0,0.5,0.375,0.4625
Lecture 20,Slide4,Lecture 20\Slide4.json,1,5,4,1,4,2,2,0.5,0.375,0.4625
Lecture 23,Slide24,Lecture 23\Slide24.json,1,5,4,2,4,2,1,0.5,0.375,0.4625
Lecture 2,Slide12,Lecture 2\Slide12.json,1,5,9,2,2,1,2,0.5,0.3636,0.4591
Lecture 6,Slide40,Lecture 6\Slide40.json,1,5,3,1,5,3,0,0.6,0.125,0.4575
Lecture 20,Slide11,Lecture 20\Slide11.json,1,5,4,1,5,3,0,0.6,0.1111,0.4533
Lecture 12,Slide30,Lecture 12\Slide30.json,1,5,4,0,2,1,2,0.5,0.3333,0.45
Lecture 14,Slide32,Lecture 14\Slide32.json,1,5,4,1,2,1,1,0.5,0.3333,0.45
Lecture 14,Slide42,Lecture 14\Slide42.json,1,5,4,1,2,1,1,0.5,0.3333,0.45
Lecture 15,Slide5,Lecture 15\Slide5.json,1,5,4,1,2,1,1,0.5,0.3333,0.45
Lecture 17,Slide33,Lecture 17\Slide33.json,1,5,4,1,2,1,1,0.5,0.3333,0.45
Lecture 18,Slide53,Lecture 18\Slide53.json,1,5,4,2,2,1,0,0.5,0.3333,0.45
Lecture 20,Slide18,Lecture 20\Slide18.json,1,5,4,1,2,1,1,0.5,0.3333,0.45
Lecture 20,Slide54,Lecture 20\Slide54.json,1,5,4,2,2,1,0,0.5,0.3333,0.45
Lecture 22,Slide25,Lecture 22\Slide25.json,1,5,4,0,2,1,2,0.5,0.3333,0.45
Lecture 23,Slide29,Lecture 23\Slide29.json,1,5,4,0,2,1,2,0.5,0.3333,0.45
Lecture 23,Slide7,Lecture 23\Slide7.json,1,5,4,1,2,1,1,0.5,0.3333,0.45
Lecture 3,Slide9,Lecture 3\Slide9.json,1,5,4,1,2,1,1,0.5,0.3333,0.45
Lecture 4,Slide25,Lecture 4\Slide25.json,1,5,4,1,2,1,1,0.5,0.3333,0.45
Lecture 4,Slide34,Lecture 4\Slide34.json,1,5,4,0,2,1,2,0.5,0.3333,0.45
Lecture 4,Slide45,Lecture 4\Slide45.json,1,5,4,1,2,1,1,0.5,0.3333,0.45
Lecture 9,Slide17,Lecture 9\Slide17.json,1,5,4,2,2,1,0,0.5,0.3333,0.45
Lecture 4,Slide29,Lecture 4\Slide29.json,1,5,8,1,2,1,2,0.5,0.3,0.44
Lecture 18,Slide32,Lecture 18\Slide32.json,1,5,16,0,5,3,1,0.6,0.0476,0.4343
Lecture 1,Slide30,Lecture 1\Slide30.json,1,5,9,1,2,1,2,0.5,0.2727,0.4318
Lecture 20,Slide36,Lecture 20\Slide36.json,1,5,9,1,2,1,2,0.5,0.2727,0.4318
Lecture 16,Slide39,Lecture 16\Slide39.json,1,5,4,2,4,2,0,0.5,0.25,0.425
Lecture 18,Slide4,Lecture 18\Slide4.json,1,5,4,0,4,2,2,0.5,0.25,0.425
Lecture 20,Slide12,Lecture 20\Slide12.json,1,5,4,2,4,2,0,0.5,0.25,0.425
Lecture 15,Slide14,Lecture 15\Slide14.json,1,5,10,1,2,1,2,0.5,0.25,0.425
Lecture 17,Slide48,Lecture 17\Slide48.json,1,5,10,1,2,1,2,0.5,0.25,0.425
Lecture 19,Slide23,Lecture 19\Slide23.json,1,5,6,2,2,1,0,0.5,0.25,0.425
Lecture 9,Slide18,Lecture 9\Slide18.json,1,5,10,2,2,1,1,0.5,0.25,0.425
Lecture 11,Slide7,Lecture 11\Slide7.json,1,5,13,0,5,3,0,0.6,0.0,0.42
Lecture 14,Slide15,Lecture 14\Slide15.json,1,5,11,0,5,3,0,0.6,0.0,0.42
Lecture 18,Slide14,Lecture 18\Slide14.json,1,5,15,0,5,3,0,0.6,0.0,0.42
Lecture 14,Slide44,Lecture 14\Slide44.json,1,5,5,1,4,2,1,0.5,0.2222,0.4167
Lecture 11,Slide46,Lecture 11\Slide46.json,1,5,7,2,2,1,0,0.5,0.2222,0.4167
Lecture 1,Slide38,Lecture 1\Slide38.json,1,5,12,2,2,1,1,0.5,0.2143,0.4143
Lecture 10,Slide38,Lecture 10\Slide38.json,1,5,3,0,2,1,1,0.5,0.2,0.41
Lecture 13,Slide12,Lecture 13\Slide12.json,1,5,3,0,2,1,1,0.5,0.2,0.41
Lecture 19,Slide22,Lecture 19\Slide22.json,1,5,3,0,2,1,1,0.5,0.2,0.41
Lecture 19,Slide36,Lecture 19\Slide36.json,1,5,3,0,2,1,1,0.5,0.2,0.41
Lecture 19,Slide48,Lecture 19\Slide48.json,1,5,3,1,2,1,0,0.5,0.2,0.41
Lecture 20,Slide53,Lecture 20\Slide53.json,1,5,3,0,2,1,1,0.5,0.2,0.41
Lecture 21,Slide33,Lecture 21\Slide33.json,1,5,13,2,2,1,1,0.5,0.2,0.41
Lecture 5,Slide14,Lecture 5\Slide14.json,1,5,3,1,2,1,0,0.5,0.2,0.41
Lecture 5,Slide15,Lecture 5\Slide15.json,1,5,3,1,2,1,0,0.5,0.2,0.41
Lecture 5,Slide21,Lecture 5\Slide21.json,1,5,3,1,2,1,0,0.5,0.2,0.41
Lecture 8,Slide9,Lecture 8\Slide9.json,1,5,13,1,2,1,2,0.5,0.2,0.41
Lecture 23,Slide13,Lecture 23\Slide13.json,1,5,12,2,4,2,1,0.5,0.1875,0.4062
Lecture 23,Slide19,Lecture 23\Slide19.json,1,5,14,2,2,1,1,0.5,0.1875,0.4062
Lecture 4,Slide28,Lecture 4\Slide28.json,1,5,4,3,3,1,1,0.3333,0.5714,0.4048
Lecture 1,Slide6,Lecture 1\Slide6.json,1,5,9,2,2,1,0,0.5,0.1818,0.4045
Lecture 20,Slide44,Lecture 20\Slide44.json,1,5,15,1,2,1,2,0.5,0.1765,0.4029
Lecture 1,Slide42,Lecture 1\Slide42.json,1,5,4,1,2,1,0,0.5,0.1667,0.4
