lecture,slide_id,triples_total,ocr_evidenced_triples_total,ocr_evidenced_rate
Lecture 21,Slide38,4,0,0.000000
Lecture 21,Slide39,4,0,0.000000
Lecture 22,Slide1,4,0,0.000000
Lecture 22,Slide16,4,0,0.000000
Lecture 22,Slide9,4,0,0.000000
Lecture 23,Slide12,4,0,0.000000
Lecture 23,Slide13,4,0,0.000000
Lecture 23,Slide24,4,0,0.000000
Lecture 23,Slide28,4,0,0.000000
Lecture 23,Slide49,4,0,0.000000
Lecture 3,Slide10,4,0,0.000000
Lecture 3,Slide11,4,0,0.000000
Lecture 3,Slide12,4,0,0.000000
Lecture 3,Slide13,4,0,0.000000
Lecture 4,Slide17,4,0,0.000000
Lecture 4,Slide18,4,0,0.000000
Lecture 4,Slide24,4,0,0.000000
Lecture 4,Slide26,4,0,0.000000
Lecture 4,Slide27,4,0,0.000000
Lecture 4,Slide32,4,0,0.000000
Lecture 4,Slide33,4,0,0.000000
Lecture 4,Slide7,4,0,0.000000
Lecture 6,Slide27,4,0,0.000000
Lecture 6,Slide30,4,0,0.000000
Lecture 6,Slide4,4,0,0.000000
Lecture 6,Slide41,4,0,0.000000
Lecture 6,Slide5,4,0,0.000000
Lecture 8,Slide34,4,0,0.000000
Lecture 9,Slide19,4,0,0.000000
Lecture 9,Slide24,4,0,0.000000
Lecture 9,Slide3,4,0,0.000000
Lecture 9,Slide9,4,0,0.000000
Lecture 1,Slide22,3,0,0.000000
Lecture 1,Slide26,3,0,0.000000
Lecture 1,Slide34,3,0,0.000000
Lecture 1,Slide40,3,0,0.000000
Lecture 1,Slide41,3,0,0.000000
Lecture 1,Slide5,3,0,0.000000
Lecture 1,Slide8,3,0,0.000000
Lecture 10,Slide43,3,0,0.000000
Lecture 11,Slide16,3,0,0.000000
Lecture 11,Slide18,3,0,0.000000
Lecture 11,Slide23,3,0,0.000000
Lecture 11,Slide25,3,0,0.000000
Lecture 11,Slide28,3,0,0.000000
Lecture 11,Slide29,3,0,0.000000
Lecture 11,Slide31,3,0,0.000000
Lecture 11,Slide32,3,0,0.000000
Lecture 11,Slide33,3,0,0.000000
Lecture 11,Slide47,3,0,0.000000
Lecture 11,Slide53,3,0,0.000000
Lecture 11,Slide61,3,0,0.000000
Lecture 11,Slide62,3,0,0.000000
Lecture 11,Slide8,3,0,0.000000
Lecture 11,Slide9,3,0,0.000000
Lecture 12,Slide14,3,0,0.000000
Lecture 12,Slide15,3,0,0.000000
Lecture 12,Slide21,3,0,0.000000
Lecture 12,Slide22,3,0,0.000000
Lecture 12,Slide27,3,0,0.000000
Lecture 12,Slide28,3,0,0.000000
Lecture 12,Slide29,3,0,0.000000
Lecture 12,Slide3,3,0,0.000000
Lecture 12,Slide32,3,0,0.000000
Lecture 12,Slide33,3,0,0.000000
Lecture 12,Slide34,3,0,0.000000
Lecture 12,Slide39,3,0,0.000000
Lecture 13,Slide4,3,0,0.000000
Lecture 14,Slide16,3,0,0.000000
Lecture 14,Slide21,3,0,0.000000
Lecture 14,Slide23,3,0,0.000000
Lecture 14,Slide28,3,0,0.000000
Lecture 14,Slide38,3,0,0.000000
Lecture 14,Slide4,3,0,0.000000
Lecture 14,Slide49,3,0,0.000000
Lecture 14,Slide51,3,0,0.000000
Lecture 14,Slide53,3,0,0.000000
Lecture 14,Slide55,3,0,0.000000
Lecture 14,Slide56,3,0,0.000000
Lecture 14,Slide57,3,0,0.000000
Lecture 14,Slide7,3,0,0.000000
Lecture 15,Slide23,3,0,0.000000
Lecture 15,Slide25,3,0,0.000000
